"annotation_id","annotator","answer","created_at","id","lang","lead_time","name","text","updated_at"
561,"2","smoke
pine","2025-02-01T22:05:51.456011Z",4358,"ch",46.185,"1975 Chateau Giscours","The “confident ease” of this wine begins to spread the moment I lift my glass. A 39-year-old vintage may no longer have a young face, yet its composed and graceful posture remains captivating. The light smokiness and pine fragrance create a profound yet refreshing complexity; with mature tannin powder massaging the palate, it leaves my palate brimming with joy.","2025-02-04T21:01:19.198079Z"
562,"2","cedar
Red Fruit","2025-02-01T22:06:10.304140Z",4359,"en",15.305,"1975 Chateau Giscours","92-94 Looks like a 15, actually 45 years Bordeaux, cedar with some red fruits nose are really elegant and noble, your nose cannot stop but enjoy this quite unbelievable  complex sleep beauty. Still a bit grippy, it tasted like date and haw juice with short sweet finishing. January 27, 2020","2025-02-04T21:01:31.178438Z"
563,"2","spices
tobacco
plum
black current
","2025-02-01T22:11:19.321628Z",4360,"en",320.39,"1985 Chateau Cos d'Estournel","Fully developed, the nose, with its spice box, tobacco leaf, forest floor, and cigar wrapper calls your name. Medium-bodied, fresh, vibrant, round, and packed with dark currants and red plums, this is ready to go. If you have a bottle, there is no reason to hold this any longer. It will not improve.","2025-02-04T21:01:45.824597Z"
564,"2","leather
tobacco
","2025-02-01T22:12:30.155208Z",4361,"ch",38.826,"1985 Chateau Cos d'Estournel","The most prominent character of Cos 1985 is the finesse and freshness. Although this wine is not highly intense, the grapes’ ripeness is just perfect. Scents of the forest floor are lingering around the classy leather and tobacco, like a warm melody of Cello around my body. What impresses me the most is the unforgettable freshness from the inside out, which is an excellent expression of Bordeaux’s elegance.","2025-02-04T21:02:01.574495Z"
565,"2","truffle
tobacco
licorice
smoke
cedar
blackberry","2025-02-01T22:13:24.439167Z",4362,"en",149.54999999999998,"1985 Chateau Gruaud-Larose","Fully mature, the seductive nose offers hints of truffle, tobacco, spice box, licorice, blackberry, cedar wood and smoke. Smooth and round with a little dust in the tannins, the wine ends with a sweet and sour cherry finish.","2025-02-04T21:02:25.475872Z"
644,"2","herbal","2025-02-02T11:11:05.282708Z",4363,"ch",20.475,"1985 Chateau Gruaud-Larose","The aroma of the 1985 vintage encompasses a rich array of aged herbal notes, revealing that the ripeness of the Cabernet Sauvignon did not reach its optimal level. Though the fragrance may seem a bit tired, the palate showcases a “old tough guy’s” character, with a consistent acidity and a unique wild leather flavor complementing each other. The body of this wine is somewhat thin, with a hollow structure that lacks a bit of “fleshiness”, making the tannins stand out more. Fortunately, the wine has a very smooth mouthfeel, ending with a hint of sweetness. It is recommended to open the bottle and enjoy it now.","2025-02-02T11:11:05.282731Z"
566,"2","oak
burnt rubber
blackcurrant","2025-02-01T22:26:09.191600Z",4364,"en",45.906,"1985 Chateau Gruaud-Larose","(1997) Very full, deep crimson colour. Leafy cabernet nose, hint of toasted oak and burnt rubber. Medium bodied, very pure, clean blackcurrant fruit and soft, integrated oak. Nice long, peppery finish with firm tannins. Good length. Just below my top 3.","2025-02-01T22:26:09.191623Z"
567,"2","plum
tobacco
red fruit","2025-02-01T22:26:42.037155Z",4365,"en",31.761,"1989 Chateau Giscours","The color is a deep, dark, ruby-red. The nose is an intense combination of red-plum & raisin fruit. Initially the palate shows notes of tobacco-leaf & raisins overlaying delicate red-fruits. acidity is good & fresh. The structure has a medium weight with a pleasant depth of fruit. Alcohol is balanced & the finish lasts reasonably well. 11/93 DCAMW","2025-02-01T22:26:42.037177Z"
568,"2","earth
tobacco
cassis
barnyard
cherry","2025-02-01T22:27:21.166358Z",4366,"en",38.164,"1989 Chateau Giscours","Light crimson and tea in color, the wine offers earth, tobacco, cassis, barnyard and cherry flavors. With a short, red fruit finish, this is beginning to dry out. Consumers should drink this sooner than later.","2025-02-01T22:27:21.166382Z"
569,"2","hazelnut
cherry
bayberry
Sichuan pepper
beef jerky","2025-02-01T22:34:07.848717Z",4367,"ch",405.433,"1989 Chateau Giscours","The 1989 vintage’s maturity is genuinely appealing. I believe that anyone who encounters this wine will instantly feel its charming smile and a reassuring strength. The rich, roasted aromas of walnuts and hazelnuts don’t dominated the vibrant fruity notes of cherry, bayberry, and blood orange. The mature, savory character of beef jerky and the spicy notes of Sichuan pepper climb in a spiral towards the finish, adding layers of richness and intricate details. I can see the image of a sunny boy in this 35 years old wine, if you’re looking to experience the warmest embrace of Chateau Giscours from the 1980s, the 1989 vintage is, unquestionably, the best choice.","2025-02-01T22:34:07.848725Z"
